size,task,metric,n_seeds,mean,sd,relsd,spread
14m,lambada_openai,acc,1,,,,
31m,lambada_openai,acc,1,,,,
70m,lambada_openai,acc,0,,,,
160m,lambada_openai,acc,0,,,,
410m,lambada_openai,acc,1,,,,
14m,lambada_openai,perplexity,1,,,,
31m,lambada_openai,perplexity,1,,,,
70m,lambada_openai,perplexity,0,,,,
160m,lambada_openai,perplexity,0,,,,
410m,lambada_openai,perplexity,1,,,,
14m,arc_challenge,acc,9,0.1823094425483504,0.00729010558474192,0.03998753702956722,0.019624573378839577
31m,arc_challenge,acc,9,0.17339780053090634,0.010174514679512707,0.05867729952952435,0.029863481228668942
70m,arc_challenge,acc,0,,,,
160m,arc_challenge,acc,0,,,,
410m,arc_challenge,acc,0,,,,
14m,arc_challenge,acc_norm,9,0.22061054228289725,0.007203597919177437,0.03265300853093408,0.0213310580204778
31m,arc_challenge,acc_norm,9,0.2104664391353811,0.006526048865519775,0.03100755109617234,0.01621160409556313
70m,arc_challenge,acc_norm,0,,,,
160m,arc_challenge,acc_norm,0,,,,
410m,arc_challenge,acc_norm,0,,,,
14m,blimp,acc,10,0.6571522388059702,0.016134469956101367,0.024552103764292593,0.044567164179104446
31m,blimp,acc,10,0.7016089552238806,0.015169577328809941,0.02162112843039381,0.05141791044776123
70m,blimp,acc,9,0.7444676616915422,0.01583915272952215,0.021275810279701362,0.04344776119402982
160m,blimp,acc,9,0.7888689883913764,0.013410241731691254,0.016999326794474166,0.040955223880597025
410m,blimp,acc,8,0.8106884328358208,0.00740273762181865,0.009131421298221285,0.020268656716417977
