params,pooled_R_log,n_cells,med_ratio,frac_ratio_in_2x
4M,0.6749391889574925,248,1.5361192319337915,0.5403225806451613
6M,0.25681028214181245,250,2.128704487966263,0.4
8M,0.5169850556074895,250,1.1432542111019033,0.592
10M,0.5981213056061696,250,1.4170573353147393,0.592
14M,0.575173488863441,250,1.0758701958505803,0.652
16M,0.6481652443707313,250,1.5261359847215021,0.564
20M,0.6788156792822522,250,1.4149581760478465,0.58
60M,0.6308883226081037,250,2.1604307998034926,0.432
90M,0.6467972596336513,250,1.592708840396782,0.56
150M,0.6185918805432726,250,1.840349850994778,0.448
300M,0.5997684383510372,250,2.129733162096567,0.42
530M,0.6137291533804915,250,1.3058883446991536,0.56
750M,0.6348291609810716,250,0.9945277705056448,0.68
1B,0.4464664937102601,249,1.4256401930487481,0.5220883534136547
