params,R_log_med,R_log_q25,R_log_q75,frac_R_ge_09,frac_R_ge_ceil_lo,frac_R_le_null,ceil_med,null_hi_med,med_ratio,n_recipes
4M,0.7352986797622892,0.6134645006450583,0.855954584520085,0.0,0.88,0.2,0.7969450052510414,0.539579386899646,1.6016231207352374,25
6M,0.542829966931764,0.3280187307540763,0.7141964562565478,0.04,0.6,0.48,0.7918998237534322,0.5523883760225524,2.2052908370948754,25
8M,0.6246038760498143,0.3708877630962119,0.7470311247744257,0.08,0.64,0.44,0.7914405838187449,0.5446552069407252,1.2021417147990607,25
10M,0.7567433221397084,0.4210335476213553,0.8523094836263704,0.16,0.64,0.28,0.8214925420662457,0.5453537991333599,1.4478437948387812,25
14M,0.702703390867273,0.48485021905059833,0.7986655863239346,0.04,0.72,0.28,0.8184328974455859,0.5531818119269956,1.0759226229693108,25
16M,0.752263171662956,0.6403655963513203,0.8016461403635758,0.0,0.76,0.16,0.7909396416796478,0.5605820650267086,1.5344678526398938,25
20M,0.7353550594408274,0.6188837069816366,0.8426414896222864,0.04,0.84,0.16,0.7837285223686912,0.5390579005400099,1.4157431646204266,25
60M,0.7657323379064542,0.5778217258014178,0.8365127952480635,0.0,0.8,0.24,0.7456114565567247,0.5490593995993209,2.0527283971513213,25
90M,0.6594574153616733,0.5344694634904196,0.787140517104861,0.08,0.92,0.28,0.7130842231931159,0.5398766233050684,1.6953446251483792,25
150M,0.6757311021369349,0.5749778369750336,0.8127911768251684,0.04,0.96,0.24,0.7341716450592869,0.5583870812637253,1.9917292841275618,25
300M,0.6807939387146853,0.5322147691118758,0.7958571256693586,0.08,0.84,0.36,0.7212226578606254,0.5561838214213721,2.1668217611430665,25
530M,0.7235697523864473,0.5714818392346902,0.7885851124803214,0.0,0.88,0.16,0.7209810870559682,0.5530325933294649,1.355549821284002,25
750M,0.736640533641537,0.5914363091197491,0.8049427807153587,0.08,0.84,0.2,0.7504983535219384,0.5510651178298156,0.9469127405130923,25
1B,0.5310264356128405,0.19083577601138538,0.649534788818817,0.0,0.76,0.48,0.6637191440184731,0.5451098060598545,1.535778576370138,25
