params,n_cells,R_med_recipe,pooled_R_log,pooled_R_log_dt,med_ratio,med_ratio_stab,med_ratio_dt,frac_ratio_in_2x,frac_ratio_dt_in_2x,med_x,med_y
4M,275,0.4071258475468251,0.1414559314442017,-0.025727531759751572,0.21985988806107862,0.2170557251903134,0.6205719723734873,0.17454545454545456,0.44363636363636366,0.06836759811799274,0.01600259006577063
6M,264,0.5856440123665405,0.16086814543529054,0.08706778669818753,0.2880789904121907,0.2868888879847916,1.0897704954145748,0.23484848484848486,0.4393939393939394,0.0522911439945698,0.015987795739047718
8M,275,0.5680942678176931,-0.07029880636349925,0.24289903413568162,0.18757470773304508,0.18894721969921258,0.6756673878094143,0.18181818181818182,0.5054545454545455,0.06695369348148121,0.012392469023623618
10M,275,0.5641222068963881,0.19548204597394164,0.1974949273987848,0.19004209238391026,0.1936132592594477,0.8485921840616948,0.18181818181818182,0.4290909090909091,0.06559988534122202,0.010750868789655775
14M,275,0.409021571618066,0.17275599109185547,0.32333340887227424,0.13784164359784648,0.1427631693061891,0.5376535987880307,0.12,0.4509090909090909,0.0460837011535778,0.008004809639242765
16M,275,0.5132889286207616,0.10308924390478062,0.21820699415521236,0.21446797986493185,0.21688632894342555,0.7600430215808266,0.2109090909090909,0.5345454545454545,0.046964751809978,0.011117497128036702
20M,275,0.4748028925069861,0.32810447027751033,0.3280275430028206,0.44957279515764853,0.4327867603895547,1.5278138257155307,0.4509090909090909,0.5127272727272727,0.06001862838798631,0.028822381947273233
60M,275,0.25902481547966755,0.08261488730118101,0.2504079561189161,0.8890918259428969,0.8715280506809547,2.8237703239057526,0.64,0.26181818181818184,0.013426353896175493,0.01250500095851965
90M,275,0.31163667290865293,0.17063244759378587,0.39102688039778577,0.4093270685271944,0.4006342581776894,1.2184214476223292,0.3781818181818182,0.64,0.015351924308576874,0.006310312412160212
150M,275,0.20024521704767248,-0.008791304247413268,0.37998775652449684,0.42978192877078575,0.41886674955491277,1.5208239686605773,0.3418181818181818,0.5054545454545455,0.010184826270193454,0.004349384082382166
300M,275,0.1634525172892854,-0.04605168607858332,0.40613008888615465,0.6963053011333006,0.705934041027468,2.2580317322732637,0.4509090909090909,0.4072727272727273,0.006474404009919849,0.004505623583522209
530M,275,0.10391916380348384,0.10496611432275126,0.6202788089562803,0.26106827071701016,0.26185964595501876,1.7480540678075727,0.22545454545454546,0.4581818181818182,0.009798934869189636,0.0025142664008451134
750M,275,0.5460669842700011,0.5451918875210985,0.6505455054793763,0.2538275045492415,0.23582273640042456,1.077841894238132,0.20727272727272728,0.6290909090909091,0.011120241020134904,0.003014472499897782
1B,275,0.2123167753624424,0.13696566589138032,0.4264023332172131,0.1550453860284232,0.14082600479689145,1.0298381627355255,0.14181818181818182,0.5418181818181819,0.02396321908542626,0.0038016149835194126
