size,acc_seedmean,acc_singleseed,share_err_any_unstable,share_err_small_unstable,err,n_pairs
4M,0.5491148272017838,0.5419141583054625,0.8025147928994083,0.6960059171597633,1352.0,2999.0
6M,0.5917915273132665,0.5624648829431438,0.7785947712418301,0.6772875816993464,1224.0,2999.0
8M,0.6468238573021182,0.6085986622073579,0.8007554296506137,0.7110481586402266,1059.0,2999.0
10M,0.6398260869565218,0.6031597918989223,0.8166666666666667,0.712037037037037,1080.0,2999.0
14M,0.6694626532887402,0.621150873281308,0.8244197780020182,0.7043390514631686,991.0,2999.0
16M,0.6614871794871796,0.6336023782980305,0.7911330049261084,0.69064039408867,1015.0,2999.0
20M,0.64376254180602,0.6235522110739502,0.7724719101123596,0.6666666666666666,1068.0,2999.0
60M,0.6898294314381271,0.6693805276848755,0.7795698924731183,0.6731182795698925,930.0,2999.0
90M,0.7385418060200669,0.7046551467855815,0.8010204081632653,0.6607142857142857,784.0,2999.0
150M,0.7525707915273132,0.7207885544407284,0.7641509433962265,0.5943396226415094,742.0,2999.0
300M,0.8226209587513935,0.7860587142326272,0.8627819548872181,0.6879699248120301,532.0,2999.0
530M,0.8566387959866221,0.8171898922333705,0.8627906976744186,0.6674418604651163,430.0,2999.0
750M,0.8283054626532887,0.7859702712746192,0.8737864077669902,0.6776699029126214,515.0,2999.0
