task,size,n_pairs,acc_seedmean,acc_singleseed,err,err_small_unstable,err_tgt_unstable,err_any_unstable,err_stable,share_err_any_unstable,share_err_small_unstable
olmes_10_macro_avg,4M,300,0.31,0.3777777777777778,207,128,20,131,76,0.6328502415458938,0.6183574879227053
olmes_10_macro_avg,6M,300,0.44666666666666666,0.45777777777777773,166,94,23,106,60,0.6385542168674698,0.5662650602409639
olmes_10_macro_avg,8M,300,0.5733333333333334,0.5677777777777778,128,96,20,102,26,0.796875,0.75
olmes_10_macro_avg,10M,300,0.58,0.5922222222222222,126,110,22,113,13,0.8968253968253969,0.873015873015873
olmes_10_macro_avg,14M,300,0.5933333333333334,0.5688888888888888,122,99,23,106,16,0.8688524590163934,0.8114754098360656
olmes_10_macro_avg,16M,300,0.7133333333333334,0.6377777777777778,86,54,18,60,26,0.6976744186046512,0.627906976744186
olmes_10_macro_avg,20M,300,0.7366666666666667,0.6444444444444444,79,52,20,58,21,0.7341772151898734,0.6582278481012658
olmes_10_macro_avg,60M,300,0.7633333333333333,0.7133333333333333,71,47,25,56,15,0.7887323943661971,0.6619718309859155
olmes_10_macro_avg,90M,300,0.8,0.7822222222222223,60,22,18,35,25,0.5833333333333334,0.36666666666666664
olmes_10_macro_avg,150M,300,0.8266666666666667,0.8022222222222222,52,18,16,28,24,0.5384615384615384,0.34615384615384615
olmes_10_macro_avg,300M,300,0.8566666666666667,0.82,43,14,18,26,17,0.6046511627906976,0.32558139534883723
olmes_10_macro_avg,530M,300,0.88,0.8433333333333333,36,11,18,23,13,0.6388888888888888,0.3055555555555556
olmes_10_macro_avg,750M,300,0.8566666666666667,0.8122222222222221,43,14,17,25,18,0.5813953488372093,0.32558139534883723
arc_challenge,4M,300,0.61,0.5211111111111111,117,76,18,86,31,0.7350427350427351,0.6495726495726496
arc_challenge,6M,300,0.58,0.5555555555555555,126,95,21,102,24,0.8095238095238095,0.753968253968254
arc_challenge,8M,300,0.5433333333333333,0.5455555555555556,137,104,25,112,25,0.8175182481751825,0.7591240875912408
arc_challenge,10M,300,0.5166666666666667,0.5077777777777777,145,113,19,120,25,0.8275862068965517,0.7793103448275862
arc_challenge,14M,300,0.67,0.5877777777777777,99,78,18,83,16,0.8383838383838383,0.7878787878787878
arc_challenge,16M,300,0.8033333333333333,0.6666666666666666,59,55,15,58,1,0.9830508474576272,0.9322033898305084
arc_challenge,20M,300,0.7966666666666666,0.7122222222222222,61,54,18,59,2,0.9672131147540983,0.8852459016393442
arc_challenge,60M,300,0.8233333333333334,0.768888888888889,53,47,21,49,4,0.9245283018867925,0.8867924528301887
arc_challenge,90M,300,0.8966666666666666,0.8355555555555555,31,27,12,29,2,0.9354838709677419,0.8709677419354839
arc_challenge,150M,300,0.8466666666666667,0.8266666666666667,46,31,18,35,11,0.7608695652173914,0.6739130434782609
arc_challenge,300M,300,0.9266666666666666,0.8844444444444444,22,15,14,21,1,0.9545454545454546,0.6818181818181818
arc_challenge,530M,300,0.9366666666666666,0.9077777777777777,19,8,12,15,4,0.7894736842105263,0.42105263157894735
arc_challenge,750M,300,0.94,0.9011111111111112,18,11,11,16,2,0.8888888888888888,0.6111111111111112
arc_easy,4M,300,0.9066666666666666,0.8722222222222222,28,23,13,25,3,0.8928571428571429,0.8214285714285714
arc_easy,6M,300,0.92,0.8711111111111113,24,17,7,19,5,0.7916666666666666,0.7083333333333334
arc_easy,8M,300,0.8766666666666667,0.8544444444444446,37,29,11,31,6,0.8378378378378378,0.7837837837837838
arc_easy,10M,300,0.91,0.8822222222222222,27,19,10,22,5,0.8148148148148148,0.7037037037037037
arc_easy,14M,300,0.8933333333333333,0.8733333333333333,32,17,11,23,9,0.71875,0.53125
arc_easy,16M,300,0.89,0.88,33,26,7,28,5,0.8484848484848485,0.7878787878787878
arc_easy,20M,300,0.8933333333333333,0.8822222222222222,32,17,10,22,10,0.6875,0.53125
arc_easy,60M,300,0.93,0.9055555555555554,21,13,12,18,3,0.8571428571428571,0.6190476190476191
arc_easy,90M,300,0.94,0.9244444444444446,18,15,9,16,2,0.8888888888888888,0.8333333333333334
arc_easy,150M,300,0.95,0.941111111111111,15,8,9,12,3,0.8,0.5333333333333333
arc_easy,300M,300,0.9533333333333334,0.9477777777777777,14,5,10,12,2,0.8571428571428571,0.35714285714285715
arc_easy,530M,300,0.97,0.9533333333333334,9,4,6,9,0,1.0,0.4444444444444444
arc_easy,750M,300,0.9666666666666667,0.9555555555555556,10,9,8,9,1,0.9,0.9
boolq,4M,300,0.42333333333333334,0.43111111111111117,173,92,104,147,26,0.8497109826589595,0.5317919075144508
boolq,6M,300,0.3333333333333333,0.3444444444444444,200,117,109,156,44,0.78,0.585
boolq,8M,300,0.38333333333333336,0.4522222222222222,185,137,98,157,28,0.8486486486486486,0.7405405405405405
boolq,10M,300,0.44666666666666666,0.4755555555555555,166,117,84,145,21,0.8734939759036144,0.7048192771084337
boolq,14M,300,0.5433333333333333,0.4855555555555554,137,79,80,115,22,0.8394160583941606,0.5766423357664233
boolq,16M,300,0.5133333333333333,0.5444444444444444,146,109,78,127,19,0.8698630136986302,0.7465753424657534
boolq,20M,300,0.5033333333333333,0.5566666666666666,149,112,78,138,11,0.9261744966442953,0.7516778523489933
boolq,60M,300,0.5133333333333333,0.5366666666666666,146,123,80,137,9,0.9383561643835616,0.8424657534246576
boolq,90M,300,0.6,0.5722222222222222,120,87,71,110,10,0.9166666666666666,0.725
boolq,150M,300,0.6133333333333333,0.57,116,54,61,87,29,0.75,0.46551724137931033
boolq,300M,300,0.6566666666666666,0.6155555555555554,103,74,63,91,12,0.883495145631068,0.7184466019417476
boolq,530M,300,0.68,0.6444444444444444,96,71,60,86,10,0.8958333333333334,0.7395833333333334
boolq,750M,300,0.6166666666666667,0.5755555555555555,115,72,64,94,21,0.8173913043478261,0.6260869565217392
csqa,4M,300,0.67,0.59,99,73,40,83,16,0.8383838383838383,0.7373737373737373
csqa,6M,300,0.61,0.5822222222222222,117,87,42,97,20,0.8290598290598291,0.7435897435897436
csqa,8M,300,0.62,0.5844444444444444,114,65,40,78,36,0.6842105263157895,0.5701754385964912
csqa,10M,300,0.7533333333333333,0.6777777777777777,74,51,34,62,12,0.8378378378378378,0.6891891891891891
csqa,14M,300,0.7633333333333333,0.6511111111111112,71,62,38,68,3,0.9577464788732394,0.8732394366197183
csqa,16M,300,0.6033333333333334,0.6211111111111111,119,87,47,99,20,0.8319327731092437,0.7310924369747899
csqa,20M,300,0.65,0.6177777777777778,105,52,38,71,34,0.6761904761904762,0.49523809523809526
csqa,60M,300,0.6966666666666667,0.66,91,56,39,65,26,0.7142857142857143,0.6153846153846154
csqa,90M,300,0.7333333333333333,0.7033333333333334,80,40,31,57,23,0.7125,0.5
csqa,150M,300,0.7433333333333333,0.6977777777777778,77,48,30,59,18,0.7662337662337663,0.6233766233766234
csqa,300M,300,0.8433333333333334,0.8066666666666666,47,28,26,37,10,0.7872340425531915,0.5957446808510638
csqa,530M,300,0.8466666666666667,0.8122222222222223,46,32,21,40,6,0.8695652173913043,0.6956521739130435
csqa,750M,300,0.8133333333333334,0.7711111111111112,56,35,30,49,7,0.875,0.625
hellaswag,4M,299,0.34448160535117056,0.40914158305462645,196,130,13,133,63,0.6785714285714286,0.6632653061224489
hellaswag,6M,299,0.3745819397993311,0.39464882943143814,187,89,13,92,95,0.4919786096256685,0.47593582887700536
hellaswag,8M,299,0.47157190635451507,0.4626532887402452,158,86,11,91,67,0.5759493670886076,0.5443037974683544
hellaswag,10M,299,0.4782608695652174,0.47937569676700104,156,79,10,83,73,0.532051282051282,0.5064102564102564
hellaswag,14M,299,0.3879598662207358,0.4526198439241917,183,127,14,129,54,0.7049180327868853,0.6939890710382514
hellaswag,16M,299,0.46153846153846156,0.47380156075808255,161,88,10,91,70,0.5652173913043478,0.546583850931677
hellaswag,20M,299,0.28762541806020064,0.3232998885172798,213,96,15,101,112,0.47417840375586856,0.4507042253521127
hellaswag,60M,299,0.4882943143812709,0.47491638795986624,153,45,12,51,102,0.3333333333333333,0.29411764705882354
hellaswag,90M,299,0.6254180602006689,0.6321070234113713,112,39,12,44,68,0.39285714285714285,0.3482142857142857
hellaswag,150M,299,0.7123745819397993,0.6989966555183946,86,26,10,33,53,0.38372093023255816,0.3023255813953488
