size,estimand,B,boot_mean,lo,hi,cluster
4M,exp_errors,500,1332.4598066666667,1194.3025833333334,1465.9524999999999,recipe
4M,mean_p_flip,500,0.37048864319398994,0.33057109160348774,0.411092049498111,recipe
4M,nas_weighted,500,0.41673529664320996,0.358817900807541,0.4730604191382128,recipe
4M,er_real_share,500,0.36301335262771045,0.3017754237420325,0.42403346926550517,recipe
4M,noise_share,500,0.1891404584931792,0.09494486702243364,0.3050428617365583,recipe
4M,discord_share,500,0.8108595415068207,0.6949571382634417,0.9050551329775665,recipe
10M,exp_errors,500,1097.4255133333331,975.9591666666665,1226.0240833333332,recipe
10M,mean_p_flip,500,0.3383979781672359,0.3022821040637791,0.37518470618873834,recipe
10M,nas_weighted,500,0.42935211203862766,0.39202941046508033,0.46728883439740143,recipe
10M,er_real_share,500,0.293176922447553,0.23366988067221722,0.36348015415372686,recipe
10M,noise_share,500,0.24806598743861835,0.1268862135317926,0.38390478997551414,recipe
10M,discord_share,500,0.7519340125613817,0.6160952100244856,0.8731137864682075,recipe
8M,exp_errors,500,1071.3243733333336,976.5578333333333,1181.309083333333,recipe
8M,mean_p_flip,500,0.32254654423594475,0.288269780986011,0.36292456880211826,recipe
8M,nas_weighted,500,0.4103387146391745,0.36656907326040805,0.45618679232326376,recipe
8M,er_real_share,500,0.2990158270195559,0.2379074944627919,0.3540171558617859,recipe
8M,noise_share,500,0.25436996248447985,0.1685276230509157,0.340668648042875,recipe
8M,discord_share,500,0.7456300375155201,0.6593313519571248,0.8314723769490843,recipe
6M,exp_errors,500,1207.91836,1070.9249166666666,1368.8635000000002,recipe
6M,mean_p_flip,500,0.3300162379354239,0.29496536813676355,0.36964271545410154,recipe
6M,nas_weighted,500,0.39070344831096204,0.3523195306732614,0.431494339010838,recipe
6M,er_real_share,500,0.3314364099563892,0.2625564300367585,0.40516506766431426,recipe
6M,noise_share,500,0.2673058966561125,0.15820945638046904,0.38660282080645014,recipe
6M,discord_share,500,0.7326941033438875,0.61339717919355,0.8417905436195309,recipe
16M,exp_errors,500,1043.8133666666668,948.5898333333333,1163.543,recipe
16M,mean_p_flip,500,0.2891771090894938,0.24085901107639074,0.3385344429500401,recipe
16M,nas_weighted,500,0.36827131223350634,0.3078388872448252,0.42611328918883135,recipe
16M,er_real_share,500,0.26583982207512324,0.20161887377247953,0.3312564947129002,recipe
16M,noise_share,500,0.279686312397312,0.20989095635315497,0.3738124291010482,recipe
16M,discord_share,500,0.7203136876026879,0.6261875708989517,0.7901090436468451,recipe
14M,exp_errors,500,1005.8763066666667,898.1878333333333,1148.3997499999998,recipe
14M,mean_p_flip,500,0.3223570139862597,0.2785107495449483,0.36324708489701146,recipe
14M,nas_weighted,500,0.42659017401260585,0.37030424525991984,0.4800460800573107,recipe
14M,er_real_share,500,0.25174942565787084,0.18907947216940485,0.32323246871498296,recipe
14M,noise_share,500,0.29072073465446313,0.18345080803475675,0.4144481301142904,recipe
14M,discord_share,500,0.7092792653455369,0.5855518698857096,0.8165491919652433,recipe
60M,exp_errors,500,927.4014733333333,819.0322500000001,1051.7295833333333,recipe
60M,mean_p_flip,500,0.23828728224262596,0.20102673349902034,0.27445242600515485,recipe
60M,nas_weighted,500,0.36689238234733956,0.31080218506526486,0.4158515467202343,recipe
60M,er_real_share,500,0.20910389005946034,0.16077281434305737,0.2610753136269622,recipe
60M,noise_share,500,0.2514800025855376,0.1712822959690976,0.3662358226123111,recipe
60M,discord_share,500,0.7485199974144624,0.633764177387689,0.8287177040309025,recipe
20M,exp_errors,500,1070.3410800000001,960.0969166666666,1197.11125,recipe
20M,mean_p_flip,500,0.28457705800458793,0.24356136122718453,0.3326891909353435,recipe
