key,task,size,n_recipes,n_seeds
olmes_10_macro_avg|4M,olmes_10_macro_avg,4M,25,3
olmes_10_macro_avg|6M,olmes_10_macro_avg,6M,25,3
olmes_10_macro_avg|8M,olmes_10_macro_avg,8M,25,3
olmes_10_macro_avg|10M,olmes_10_macro_avg,10M,25,3
olmes_10_macro_avg|14M,olmes_10_macro_avg,14M,25,3
olmes_10_macro_avg|16M,olmes_10_macro_avg,16M,25,3
olmes_10_macro_avg|20M,olmes_10_macro_avg,20M,25,3
olmes_10_macro_avg|60M,olmes_10_macro_avg,60M,25,3
olmes_10_macro_avg|90M,olmes_10_macro_avg,90M,25,3
olmes_10_macro_avg|150M,olmes_10_macro_avg,150M,25,3
olmes_10_macro_avg|300M,olmes_10_macro_avg,300M,25,3
olmes_10_macro_avg|530M,olmes_10_macro_avg,530M,25,3
olmes_10_macro_avg|750M,olmes_10_macro_avg,750M,25,3
arc_challenge|4M,arc_challenge,4M,25,3
arc_challenge|6M,arc_challenge,6M,25,3
arc_challenge|8M,arc_challenge,8M,25,3
arc_challenge|10M,arc_challenge,10M,25,3
arc_challenge|14M,arc_challenge,14M,25,3
arc_challenge|16M,arc_challenge,16M,25,3
arc_challenge|20M,arc_challenge,20M,25,3
arc_challenge|60M,arc_challenge,60M,25,3
arc_challenge|90M,arc_challenge,90M,25,3
arc_challenge|150M,arc_challenge,150M,25,3
arc_challenge|300M,arc_challenge,300M,25,3
arc_challenge|530M,arc_challenge,530M,25,3
arc_challenge|750M,arc_challenge,750M,25,3
arc_easy|4M,arc_easy,4M,25,3
arc_easy|6M,arc_easy,6M,25,3
arc_easy|8M,arc_easy,8M,25,3
arc_easy|10M,arc_easy,10M,25,3
arc_easy|14M,arc_easy,14M,25,3
arc_easy|16M,arc_easy,16M,25,3
arc_easy|20M,arc_easy,20M,25,3
arc_easy|60M,arc_easy,60M,25,3
arc_easy|90M,arc_easy,90M,25,3
arc_easy|150M,arc_easy,150M,25,3
arc_easy|300M,arc_easy,300M,25,3
arc_easy|530M,arc_easy,530M,25,3
arc_easy|750M,arc_easy,750M,25,3
boolq|4M,boolq,4M,25,3
boolq|6M,boolq,6M,25,3
boolq|8M,boolq,8M,25,3
boolq|10M,boolq,10M,25,3
boolq|14M,boolq,14M,25,3
boolq|16M,boolq,16M,25,3
boolq|20M,boolq,20M,25,3
boolq|60M,boolq,60M,25,3
boolq|90M,boolq,90M,25,3
boolq|150M,boolq,150M,25,3
boolq|300M,boolq,300M,25,3
boolq|530M,boolq,530M,25,3
boolq|750M,boolq,750M,25,3
csqa|4M,csqa,4M,25,3
csqa|6M,csqa,6M,25,3
csqa|8M,csqa,8M,25,3
csqa|10M,csqa,10M,25,3
csqa|14M,csqa,14M,25,3
csqa|16M,csqa,16M,25,3
csqa|20M,csqa,20M,25,3
csqa|60M,csqa,60M,25,3
csqa|90M,csqa,90M,25,3
csqa|150M,csqa,150M,25,3
csqa|300M,csqa,300M,25,3
csqa|530M,csqa,530M,25,3
csqa|750M,csqa,750M,25,3
hellaswag|4M,hellaswag,4M,25,3
hellaswag|6M,hellaswag,6M,25,3
hellaswag|8M,hellaswag,8M,25,3
hellaswag|10M,hellaswag,10M,25,3
hellaswag|14M,hellaswag,14M,25,3
hellaswag|16M,hellaswag,16M,25,3
hellaswag|20M,hellaswag,20M,25,3
hellaswag|60M,hellaswag,60M,25,3
hellaswag|90M,hellaswag,90M,25,3
hellaswag|150M,hellaswag,150M,25,3
hellaswag|300M,hellaswag,300M,25,3
hellaswag|530M,hellaswag,530M,25,3
hellaswag|750M,hellaswag,750M,25,3
mmlu|4M,mmlu,4M,25,3
mmlu|6M,mmlu,6M,25,3
mmlu|8M,mmlu,8M,25,3
mmlu|10M,mmlu,10M,25,3
mmlu|14M,mmlu,14M,25,3
mmlu|16M,mmlu,16M,25,3
mmlu|20M,mmlu,20M,25,3
mmlu|60M,mmlu,60M,25,3
mmlu|90M,mmlu,90M,25,3
mmlu|150M,mmlu,150M,25,3
mmlu|300M,mmlu,300M,25,3
mmlu|530M,mmlu,530M,25,3
mmlu|750M,mmlu,750M,25,3
openbookqa|4M,openbookqa,4M,25,3
openbookqa|6M,openbookqa,6M,25,3
openbookqa|8M,openbookqa,8M,25,3
openbookqa|10M,openbookqa,10M,25,3
openbookqa|14M,openbookqa,14M,25,3
openbookqa|16M,openbookqa,16M,25,3
openbookqa|20M,openbookqa,20M,25,3
openbookqa|60M,openbookqa,60M,25,3
openbookqa|90M,openbookqa,90M,25,3
openbookqa|150M,openbookqa,150M,25,3
openbookqa|300M,openbookqa,300M,25,3
openbookqa|530M,openbookqa,530M,25,3
openbookqa|750M,openbookqa,750M,25,3
piqa|4M,piqa,4M,25,3
piqa|6M,piqa,6M,25,3
piqa|8M,piqa,8M,25,3
piqa|10M,piqa,10M,25,3
piqa|14M,piqa,14M,25,3
piqa|16M,piqa,16M,25,3
piqa|20M,piqa,20M,25,3
piqa|60M,piqa,60M,25,3
piqa|90M,piqa,90M,25,3
piqa|150M,piqa,150M,25,3
piqa|300M,piqa,300M,25,3
piqa|530M,piqa,530M,25,3
piqa|750M,piqa,750M,25,3
socialiqa|4M,socialiqa,4M,25,3
socialiqa|6M,socialiqa,6M,25,3
socialiqa|8M,socialiqa,8M,25,3
socialiqa|10M,socialiqa,10M,25,3
socialiqa|14M,socialiqa,14M,25,3
socialiqa|16M,socialiqa,16M,25,3
socialiqa|20M,socialiqa,20M,25,3
socialiqa|60M,socialiqa,60M,25,3
socialiqa|90M,socialiqa,90M,25,3
socialiqa|150M,socialiqa,150M,25,3
socialiqa|300M,socialiqa,300M,25,3
socialiqa|530M,socialiqa,530M,25,3
socialiqa|750M,socialiqa,750M,25,3
winogrande|4M,winogrande,4M,25,3
winogrande|6M,winogrande,6M,25,3
winogrande|8M,winogrande,8M,25,3
winogrande|10M,winogrande,10M,25,3
winogrande|14M,winogrande,14M,25,3
winogrande|16M,winogrande,16M,25,3
winogrande|20M,winogrande,20M,25,3
winogrande|60M,winogrande,60M,25,3
winogrande|90M,winogrande,90M,25,3
winogrande|150M,winogrande,150M,25,3
winogrande|300M,winogrande,300M,25,3
winogrande|530M,winogrande,530M,25,3
winogrande|750M,winogrande,750M,25,3
