task,size,n_pairs,errors,err_any_unstable,share_err_any_unstable,share_pairs_unstable,acc
olmes_10_macro_avg,4M,300,207,131,0.6328502415458938,0.7133333333333334,0.31
olmes_10_macro_avg,6M,300,166,106,0.6385542168674698,0.66,0.44666666666666666
olmes_10_macro_avg,8M,300,128,102,0.796875,0.75,0.5733333333333334
olmes_10_macro_avg,10M,300,126,113,0.8968253968253969,0.7733333333333333,0.58
olmes_10_macro_avg,14M,300,122,106,0.8688524590163934,0.7533333333333333,0.5933333333333334
olmes_10_macro_avg,16M,300,86,60,0.6976744186046512,0.6133333333333333,0.7133333333333334
olmes_10_macro_avg,20M,300,79,58,0.7341772151898734,0.6466666666666666,0.7366666666666667
olmes_10_macro_avg,60M,300,71,56,0.7887323943661971,0.5033333333333333,0.7633333333333333
olmes_10_macro_avg,90M,300,60,35,0.5833333333333334,0.31,0.8
olmes_10_macro_avg,150M,300,52,28,0.5384615384615384,0.25666666666666665,0.8266666666666667
olmes_10_macro_avg,300M,300,43,26,0.6046511627906976,0.29333333333333333,0.8566666666666667
olmes_10_macro_avg,530M,300,36,23,0.6388888888888888,0.24666666666666667,0.88
olmes_10_macro_avg,750M,300,43,25,0.5813953488372093,0.30666666666666664,0.8566666666666667
arc_challenge,4M,300,117,86,0.7350427350427351,0.7733333333333333,0.61
arc_challenge,6M,300,126,102,0.8095238095238095,0.75,0.58
arc_challenge,8M,300,137,112,0.8175182481751825,0.7233333333333334,0.5433333333333333
arc_challenge,10M,300,145,120,0.8275862068965517,0.7933333333333333,0.5166666666666667
arc_challenge,14M,300,99,83,0.8383838383838383,0.73,0.67
arc_challenge,16M,300,59,58,0.9830508474576272,0.7766666666666666,0.8033333333333333
arc_challenge,20M,300,61,59,0.9672131147540983,0.64,0.7966666666666666
arc_challenge,60M,300,53,49,0.9245283018867925,0.4766666666666667,0.8233333333333334
arc_challenge,90M,300,31,29,0.9354838709677419,0.3466666666666667,0.8966666666666666
arc_challenge,150M,300,46,35,0.7608695652173914,0.2966666666666667,0.8466666666666667
arc_challenge,300M,300,22,21,0.9545454545454546,0.26666666666666666,0.9266666666666666
arc_challenge,530M,300,19,15,0.7894736842105263,0.2,0.9366666666666666
arc_challenge,750M,300,18,16,0.8888888888888888,0.21333333333333335,0.94
arc_easy,4M,300,28,25,0.8928571428571429,0.2633333333333333,0.9066666666666666
arc_easy,6M,300,24,19,0.7916666666666666,0.27666666666666667,0.92
arc_easy,8M,300,37,31,0.8378378378378378,0.29,0.8766666666666667
arc_easy,10M,300,27,22,0.8148148148148148,0.23666666666666666,0.91
arc_easy,14M,300,32,23,0.71875,0.23,0.8933333333333333
arc_easy,16M,300,33,28,0.8484848484848485,0.23666666666666666,0.89
arc_easy,20M,300,32,22,0.6875,0.2,0.8933333333333333
arc_easy,60M,300,21,18,0.8571428571428571,0.19333333333333333,0.93
arc_easy,90M,300,18,16,0.8888888888888888,0.18,0.94
arc_easy,150M,300,15,12,0.8,0.12666666666666668,0.95
arc_easy,300M,300,14,12,0.8571428571428571,0.10666666666666667,0.9533333333333334
arc_easy,530M,300,9,9,1.0,0.13,0.97
arc_easy,750M,300,10,9,0.9,0.13333333333333333,0.9666666666666667
boolq,4M,300,173,147,0.8497109826589595,0.8433333333333334,0.42333333333333334
boolq,6M,300,200,156,0.78,0.8266666666666667,0.3333333333333333
