task,size,acc,snr_ours,snr_sn
arc_challenge,4M,0.61,0.3896416630841064,0.2861169869731001
arc_easy,4M,0.9066666666666666,2.915436868214672,1.2104534804771887
boolq,4M,0.42333333333333334,0.49740690752065864,1.0358602420845644
csqa,4M,0.67,0.3420166968682564,0.32810067951803934
hellaswag,4M,0.34448160535117056,0.5971361955267298,0.3294306924600967
mmlu,4M,0.48333333333333334,0.3788991132205802,0.23259101138337893
openbookqa,4M,0.5066666666666667,0.2286601019182424,0.2537921250702046
piqa,4M,0.7133333333333334,1.2571787759282884,1.0377914287439454
socialiqa,4M,0.45,0.2819189346633379,0.46059001934961136
winogrande,4M,0.38333333333333336,0.0,0.5159582202208631
arc_challenge,6M,0.58,0.2814699026558872,0.32988159032928965
arc_easy,6M,0.92,2.7153115004620543,2.3978144472744125
boolq,6M,0.3333333333333333,0.9105938291260965,2.521438980403247
csqa,6M,0.61,0.714694663545641,0.4234832988458224
hellaswag,6M,0.3745819397993311,0.9400230460988382,0.5214594955055568
mmlu,6M,0.7566666666666667,0.898300710085974,0.4625282967896143
openbookqa,6M,0.6233333333333333,0.3298732572527752,0.3393567835548439
piqa,6M,0.7266666666666667,0.6587740749144196,0.9779646259672798
socialiqa,6M,0.58,0.5103616334622945,0.5793166923699015
winogrande,6M,0.41333333333333333,0.0,0.501137330256087
arc_challenge,8M,0.5433333333333333,0.41233618868372157,0.2122561406911451
arc_easy,8M,0.8766666666666667,2.8636415892747697,0.9507691992098865
boolq,8M,0.38333333333333336,0.3757428794470307,0.6830613389718865
csqa,8M,0.62,0.7635684364815182,0.3229441832755569
hellaswag,8M,0.47157190635451507,0.7039694374751598,0.2630431882621413
mmlu,8M,0.8066666666666666,1.1503812134079905,0.34793457032912783
openbookqa,8M,0.6933333333333334,0.31827553780645007,0.24311260425913675
piqa,8M,0.7733333333333333,0.8235643141663934,0.7720718886389947
socialiqa,8M,0.7633333333333333,0.8097849411727763,0.5826486849087987
winogrande,8M,0.5366666666666666,0.0,0.3163523754501663
arc_challenge,10M,0.5166666666666667,0.0,0.24018208816521477
arc_easy,10M,0.91,3.62757259052325,2.184839829745517
boolq,10M,0.44666666666666666,0.15055071569499442,0.7606653234774206
csqa,10M,0.7533333333333333,0.8268842167382515,0.34310115817802345
hellaswag,10M,0.4782608695652174,1.0206425411964646,0.32951733852892157
mmlu,10M,0.84,1.2953890162967145,0.5210630415612513
openbookqa,10M,0.5866666666666667,0.1696119689474608,0.28223558098035206
piqa,10M,0.68,0.7285234349354942,0.813638059837196
socialiqa,10M,0.6333333333333333,0.33610184371633234,0.38119253760234745
winogrande,10M,0.5533333333333333,0.17105763993812031,0.5099392126326915
arc_challenge,14M,0.67,0.3689788675031712,0.22425101148368354
arc_easy,14M,0.8933333333333333,3.653466437801806,1.6047198380038168
boolq,14M,0.5433333333333333,0.4435943764159153,0.5483388532058593
csqa,14M,0.7633333333333333,0.39498121097102584,0.3257913575977318
hellaswag,14M,0.3879598662207358,0.40445325528239134,0.24101265104506372
mmlu,14M,0.86,1.5661459426037414,0.42224079083379773
openbookqa,14M,0.7066666666666667,0.44218892198060167,0.23939234967592252
piqa,14M,0.8266666666666667,1.180828861808115,0.8097037151381243
socialiqa,14M,0.6066666666666667,0.6415778102905993,0.3786246473428616
winogrande,14M,0.43666666666666665,0.21469378011987733,0.5179430870571143
arc_challenge,16M,0.8033333333333333,0.24274356393257507,0.3298644053852498
arc_easy,16M,0.89,4.596179798913067,2.5712947341407744
boolq,16M,0.5133333333333333,0.33545300830329194,0.7167319691890895
csqa,16M,0.6033333333333334,0.9354081005506034,0.841119975377523
hellaswag,16M,0.46153846153846156,0.8215658377285716,0.46469323284390157
mmlu,16M,0.8533333333333334,1.7758253587305604,0.6250968237860225
